"State,District",
"Andhra Pradesh,Anantapur",
"Andhra Pradesh,Chittoor",
"Andhra Pradesh,East Godavari",
"Andhra Pradesh,Guntur",
"Andhra Pradesh,Krishna",
"Andhra Pradesh,Kurnool",
"Andhra Pradesh,Nellore",
"Andhra Pradesh,Prakasam",
"Andhra Pradesh,Srikakulam",
"Andhra Pradesh,Visakhapatnam",
"Andhra Pradesh,Vizianagaram",
"Andhra Pradesh,West Godavari",
"Andhra Pradesh,Y.S.R.",
"Arunachal Pradesh,Anjaw",
"Arunachal Pradesh,Changlang",
"Arunachal Pradesh,East Kameng",
"Arunachal Pradesh,East Siang",
"Arunachal Pradesh,Kra Daadi",
"Arunachal Pradesh,Lohit",
"Arunachal Pradesh,Longding",
"Arunachal Pradesh,Namsai",
"Arunachal Pradesh,Pakke-Kessang",
"Arunachal Pradesh,Papum Pare",
"Arunachal Pradesh,Siang",
"Arunachal Pradesh,Tawang",
"Arunachal Pradesh,West Kameng",
"Arunachal Pradesh,West Siang",
"Arunachal Pradesh,Upper Subansiri",
"Arunachal Pradesh,Lower Subansiri",
"Assam,Baksa",
"Assam,Barpeta",
"Assam,Bongaigaon",
"Assam,Cachar",
"Assam,Charaideo",
"Assam,Chirang",
"Assam,Darrang",
"Assam,Dhemaji",
"Assam,Dhubri",
"Assam,Dibrugarh",
"Assam,Dima Hasao",
"Assam,Goalpara",
"Assam,Golaghat",
"Assam,Hailakandi",
"Assam,Jorhat",
"Assam,Kamrup",
"Assam,Kamrup Metropolitan",
"Assam,Karbi Anglong",
"Assam,Kokrajhar",
"Assam,Lakhimpur",
"Assam,Morigaon",
"Assam,Nagaon",
"Assam,Nalbari",
"Assam,Sivasagar",
"Assam,Sonitpur",
"Assam,Tinsukia",
"Assam,Udalguri",
"Bihar,Araria",
"Bihar,Arwal",
"Bihar,Aurangabad",
"Bihar,Banka",
"Bihar,Begusarai",
"Bihar,Bhagalpur",
"Bihar,Bhojpur",
"Bihar,Buxar",
"Bihar,Patna",
"Bihar,Gaya",
"Bihar,Jamui",
"Bihar,Jehanabad",
"Bihar,Kaimur",
"Bihar,Katihar",
"Bihar,Kishanganj",
"Bihar,Lakhisarai",
"Bihar,Madhubani",
"Bihar,Magadh",
"Bihar,Muzaffarpur",
"Bihar,Nalanda",
"Bihar,Nawada",
"Bihar,Paschim Champaran",
"Bihar,Purbi Champaran",
"Bihar,Purnia",
"Bihar,Rohtas",
"Bihar,Saharsa",
"Bihar,Samastipur",
"Bihar,Saran",
"Bihar,Sheikhpura",
"Bihar,Sheohar",
"Bihar,Sitamarhi",
"Bihar,Siwan",
"Bihar,Supaul",
"Bihar,Vaishali",
"Bihar,West Champaran",
"Chhattisgarh,Balasore",
"Chhattisgarh,Bilaspur",
"Chhattisgarh,Dhamtari",
"Chhattisgarh,Durg",
"Chhattisgarh,Gariaband",
"Chhattisgarh,Janjgir-Champa",
"Chhattisgarh,Jashpur",
"Chhattisgarh,Kabeerdham",
